absolute_page,rotation,word,confidence,left,top,width,height,block_num,par_num,line_num,word_num
1,0,e,25.0,168,0,200,79,1,1,1,1
1,0,-,43.0,383,44,6,15,1,1,1,2
1,0,-,32.0,412,57,13,33,1,1,1,3
1,0,-,12.0,613,159,11,12,1,1,1,4
1,0,:,70.0,1024,298,4,29,1,1,1,5
1,0,4,53.0,1111,332,69,34,1,1,1,6
1,0,ea,21.0,0,0,113,82,1,1,2,1
1,0,a,0.0,125,39,58,74,1,1,2,2
1,0,a,33.0,200,88,160,93,1,1,2,3
1,0,pat,0.0,373,163,118,40,1,1,2,4
1,0,E,92.0,668,271,27,36,1,1,2,5
1,0,CAL,96.0,712,271,90,56,1,1,2,6
1,0,TIVO,72.0,892,354,110,36,1,1,2,7
1,0,.,42.0,1024,396,24,37,1,1,2,8
1,0,Se,34.0,1071,430,109,43,1,1,2,9
1,0,a,18.0,9,106,485,209,1,1,3,1
1,0,5,71.0,547,355,32,36,1,1,3,2
1,0,ADMI,88.0,595,355,128,91,1,1,3,3
1,0,A,47.0,725,410,32,36,1,1,3,4
1,0,Ss,8.0,905,464,126,81,1,1,3,5
1,0,a,0.0,1122,572,38,11,1,1,3,6
1,0,No,25.0,6,252,346,170,1,1,4,1
1,0,»,21.0,385,432,6,11,1,1,4,2
1,0,DE,96.0,433,412,46,47,1,1,4,3
1,0,N,93.0,581,494,27,36,1,1,4,4
1,0,DE,96.0,628,494,61,36,1,1,4,5
1,0,a,0.0,1025,641,98,66,1,1,4,6
1,0,Eo,32.0,1137,694,44,43,1,1,4,7
1,0,1,8.0,6,297,77,67,1,1,5,1
1,0,Bee,39.0,181,323,179,132,1,1,5,2
1,0,4,65.0,379,442,13,33,1,1,5,3
1,0,;,15.0,416,455,3,28,1,1,5,4
1,0,CIO,96.0,494,495,81,36,1,1,5,5
1,0,AS,95.0,647,550,62,36,1,1,5,6
1,0,.,70.0,814,617,2,2,1,1,5,7
1,0,Eo,43.0,916,661,52,18,1,1,5,8
1,0,di,50.0,1005,688,31,31,1,1,5,9
1,0,-,17.0,1047,690,12,48,1,1,5,10
1,0,07,38.0,1072,705,52,32,1,1,5,11
1,0,2%,49.0,1158,734,23,11,1,1,5,12
1,0,a,41.0,5,576,82,72,1,1,6,1
1,0,te,8.0,96,604,224,122,1,1,6,2
1,0,ROCI,78.0,331,699,124,70,1,1,6,3
1,0,JO,96.0,486,773,59,37,1,1,6,4
1,0,Y,96.0,560,773,32,36,1,1,6,5
1,0,ESTAL,90.0,637,828,90,36,1,1,6,6
1,0,|,34.0,799,875,17,14,1,1,6,7
1,0,N,93.0,855,910,27,36,1,1,6,8
1,0,DE,96.0,902,909,67,50,1,1,6,9
1,0,Eu,32.0,1026,958,135,65,1,1,6,10
1,0,ie,19.0,6,619,83,99,1,1,7,1
1,0,e:,28.0,97,658,533,207,1,1,7,2
1,0,|,94.0,665,873,2,2,1,1,7,3
1,0,cucio,59.0,698,910,154,91,1,1,7,4
1,0,LA,51.0,870,955,56,47,1,1,7,5
1,0,|,87.0,1158,1061,2,2,1,1,7,6
1,0,E,31.0,4,666,83,66,1,1,8,1
1,0,E,41.0,96,695,22,56,1,1,8,2
1,0,EN,12.0,128,706,78,80,1,1,8,3
1,0,LND,0.0,228,741,161,97,1,1,8,4
1,0,PR,96.0,405,829,63,36,1,1,8,5
1,0,\,72.0,578,898,3,2,1,1,8,6
1,0,EJE,91.0,610,899,84,48,1,1,8,7
1,0,D,92.0,790,966,29,36,1,1,8,8
1,0,L,90.0,896,1005,23,52,1,1,8,9
1,0,o,23.0,1121,1102,39,22,1,1,8,10
1,0,un,47.0,15,699,96,76,1,1,9,1
1,0,E,30.0,124,752,49,49,1,1,9,2
1,0,Hoe,31.0,180,762,208,119,1,1,9,3
1,0,7,18.0,426,867,27,13,1,1,9,4
1,0,LA,96.0,536,903,60,65,1,1,9,5
1,0,TOS,96.0,675,966,96,37,1,1,9,6
