CENTRO,GESTOR,col_3,POSICIÓN,PRESUPUESTAL,CONCEPTO,DO TOTAL %EJECRECAUDOMODIFICADOPRESUPUESTOPRESINICIALPRESUPUESTO,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34
4131,4131,1.2.1.0.00,Ingreses corrientes de Libre Destinación,1.2.3.4:02,ICLD LEY.99.Destino Amblantal...,1.1.01.02.200.01.04,1.1:01.02.200.01.04,Reteica Impuesto de Industria y Comercio SobreActividades Comerciales Vigencia Antañor,Retelca Impuesto de Industria y Comercio SobreActividades Comerciales-Vigencia Anterior,"6:273,322,162",63.366:891,"6.273,322.162","10,1633.628.218","63:366,891","10,1-6:400.284",,,,,,,,,,,,,,,,,,
4131,1.2.1.0.00,Ingresos comentes de Libre Destinación,"1.1.01.02.200,01.05",Regimen Simple de Tribütéción Actividades,"990,000",990.000,"5.981,459.21515.977.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Comerciales Vigencia Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4131,1.2.3.4.02,ICLD LEY 99-Destino Ambiental,1.1.01.02.200.01.05,Regimen Simpie de Tributación - ActividadesComerciales-Vigencia Actuel,"10,000","0,000","5.981,4",598:141,,,,,,,,,,,,,,,,,,,,,,,,,
4131,4131,1.2.1.0.00,Ingresos comentes de Libra Destineción,1.2.3.4.02,¡CLD LEY 99 - Destino Ambjental,1.1.01.02.200.01.06,1.1.01.02.200.01.06,Regimen Simple de Tributación-ActividadesRegimen Simple de Tributación-ActividadesComerciales-Vigencia AnteriorComerciales-Vigencia Anterior,990.000,10.000,0.000990.,1.110.308.130,"112.152,3","0,00010.0",11.215.234,"112.152,3",,,,,,,,,,,,,,,,,
,,"1.1.01.02,200.02",Impuesto de industria y Comarcio - SobreActividades industriales,"61,243.425.76 769",61.243.425.769,53.015.820.757,"86,6",,,,,,,,,,,,,,,,,,,,,,,,,,
4131,1.2.1.0.00,Ingresos comentes de Libre Destinación,1.1.01.02.200.02.01,Impuesto de industria y Comercio-Sobre ActividadesIndustriales Vigencia Actual,46.402.290.000,6.402.290.000,"49,952.084.363","107,7",,,,,,,,,,,,,,,,,,,,,,,,,
4131,1.2.3.4.02,ICLD LEY 99- Destina Ambiental,1.1.01.02.200.02.01,Industriales Vigencia Actual-Impuesto de industria y Comercio Sobre Actividades,"468,710,000",468.710.000,504.566.509,"107,7",,,,,,,,,,,,,,,,,,,,,,,,,
4131,Ingresos comentes da Libre Destinación,1.2.1.0.00,1.1.01.02.200.02.02,impuesto de industria y comercio -Sobre Actividadesindustriales Vigencia Anterior,976.445.135,976.445.135,1.509.012.572,"154,5",,,,,,,,,,,,,,,,,,,,,,,,,
4131,4131,ICLD LEY 99- Destino Ambiental,1.2.3.4.02,Ingresos comentes de Libre Destinación,1.2.1.0.00,1.1.01.02.200.02.02,1.1.01.02.200.02.03,Impuesto de industria y comercio -Sobre ActividadesRetalca impuesto de industría y comercio-SobreIndustriales - Vigencia AnteriorActividedes Industriales - Vigencia Actual,9.863.082,11.925.248.739,9.863.082,15.242.551,"154,5",925.246.73911.92,375.236.640,"3,1",,,,,,,,,,,,,,,,,
4131,1.2.3.4.02,ICLD LEY 99 - Destino Ambiantal,1.1.01.02.200.02.03,Reteica Impuesto de industría y comercio SobreAetividades Industriales - Vigencia Actuai,120.457.058,120.457.058,3.790.270,"3,1",,,,,,,,,,,,,,,,,,,,,,,,,
4131,1.2.1.0.00,Ingresos corrientes de Libre Destinación,1.1.01.02.200.02.04,Retelca impuesto de industria y comercio -SobreAetividades Industriales - Vigencia Anterior,1.325.027.637,1.325.027.637,167.290.573,"12,6",,,,,,,,,,,,,,,,,,,,,,,,,
4131,1.2.3.4.02,ICLD LEY 99- Dastino Ambientel,1.1.01.02.200.02.04,Retelca impuesto de industria y comercio SobreActividadas Industriales Vigencia Anterior,13.384.118),13.384.118,1.689.803,"12,6",,,,,,,,,,,,,,,,,,,,,,,,,
4131,4131,1.2.1.0.00,ICLD LEYIngresos corrientes de Libre Destinación99 Destino Ambiental,1.2.3.4.02,1.1.01.02.200.02.05,Regimen Simple de Tributación. ActividadesIndustriales-Vigencia Actual,990.000,18.831.828,990.000,"1.902,2",,,,,,,,,,,,,,,,,,,,,,,
99 Destino Ambiental,1.1.01.02.200.02.05,Regimen Simple de Tributación - ActividadesIndustriales Vigencia Actual,10.000,10.000,190.220,"1.902,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
4131,1.2.1.0.00,Ingresas comentes de Libre Destinación,1.1.01.02.200.02.06,Regimen Simple de Tributación -Actividades industriales- Vigencia Anterior,990.000,990.000,463.206.574,"46.788,5",,,,,,,,,,,,,,,,,,,,,,,,,
4131,1.2.3.4.02,ICLD LEY 99 - Destine Ambiental,1.1.01.02.200.02.06,Vigencia AnteriorRegimen Simple de Tributación-Actividades Industriales,10.000,10.000,"46.788,5",4.678.854,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.1.01.02.200.03,Impuosto de Industria y Comercio - SobreActividades de Servicios,427.329.201.550,"427.329.201,550",318.393.997.771,"74,5",,,,,,,,,,,,,,,,,,,,,,,,,,
4131,1.2.1.0.00,Ingresos corrientes de Libre Destinación,1.1.01.02.200.03.01,impuesto de Industria y Comercio - Sobre Actividadesde Servicios- Vigencia Actual,323.783.460.000,"323.783.460,000","95,0",307.527.684.640,,,,,,,,,,,,,,,,,,,,,,,,,
