Fondo,Nombre,PPTO.MODIFICADO,SALDO CDP,SALDO RPC,SALDOOBLIGACIONES,PAGOS,EJECUCION,%EJECUCIONDE,col_10
2-11010100109,Prima técnica salarial,107.295.854,0,0,176.910,54.924.337,55.101.247,"51,35",
2-11010100204,Prima semestral,7.678.608.138,45.914.972,0,0,3.098.120.701,3.098.120.701,"40,35",
2-11010100206,Primas extraordinarias,270.194.172,47.911,0,1.910.645,146.663.324,148.573.969,"54,99",
2-1101010021201,Beneficios a los empleados a cortoplazo,6.490.472.277,997.231,0,73.533.753,4.699.835.280,4.773.369.033,"73,54",
2-11010100234,Prima de clima o prima de calor,63.077.830,0,0,631.463,30.939.951,31.571.414,"50,05",
2-11010100235,Prima Movil,73.308.108,0,,613.425,39.417.859,40.031.284,"54,61",
2-1101020010401,Fondo de Pensiones Publico,14.685.767.169,5.467.400,18.212.800,248.764.647,12.128.355.728,12.395.333.175,"84,40",
2-1101020010402,Fondo de Pensiones Privado,6.740.452.093,3.863.100,12.955.100,7.416.817,1.987.065.996,2.007.437.913,"29,78",
2-11010200201,Entidades Promotoras en Salud (EPS,(,15.176.905.311,6.681.100,58.028.033,261.175.930,11.827.660.385,12.146.864.348,"80,04"
2-11010200301,Aportes de Cesantias Fondo Publico,3.264.411.557,,0,0,3.258.350.322,3.258.350.322,"99,81",
2-11010200302,Aportes de Cesantias Fondo Privado,7.445.853.172,0,0,0,7.127.016.098,7.127.016.098,"95,72",
2-11010200303,Intereses a las Cesantias,2.508.070.086,9.338.929,0,111,2.322.938.011,2.322.938.122,"92,62",
2-11010200304,Cesantias Definitivas anualizado,469.373.940,52.110.931,이,0,389.984.270,389.984.270,"83,09",
2-110102004,Aportes a cajas de compensaciónfamiliar,9.123.264.529,19.575.800,4.572.600,103.713.502,5.404.722.922,5.513.009.024,"60,43",
2-110102005,riesgos laboralesAportes generales al sistema de,3.196.970.477,5.716.500,5.683.900,76.810.703,3.094.790.405,3.177.285.008,"99,38",
2-110102006,Aportes al ICBF,6.842.448.397,14.627.600,428.200,75.835.080,4.046.629.763,4.122.893.043,"60,25",
2-110102007,Aportes al SENA,1.140.408.066,2.438.500,71.200,13.544.607,675.121.475,688.737.282,"60,39",
2-110102008,Aportes a la ESAP,1.140.408.066,2.438.500,71.200,12.878.457,674.157.343,687.107.000,"60,25",
2-110102009,institutos técnicosAportes a escuelas industriales e,2.280.816.132,4.876.000,142.900,26.353.071,1.347.607.829,1.374.103.800,"60,25",
2-11010202002,Aportes a la seguridad social ensalud,382.842.655,,25.001.100,이,176.164.400,201.165.500,"52,55",
