Fondo,Nombre,PPTOMODIFICADO.,SALDO CDP,SALDO RPC,SALDOOBLIGACIONES,PAGOS,EJECUCION,%EJECUCIÓNDE
12322405,CNSCC Transferencia Policía2197/22Medidas Correctivas 15% Ley,475.613.583,85.492.524,0,0,179.255.757,179.255.757,"37,69"
2-130501061,edidasCorrectivasAdmin FunciEInfraestruc Registo NalM,475.613.583,85.492.524,0,0,179.255.757,179.255.757,"37,69"
12322406,CNSCC Transferencia PolicíaVigilancia 15% Ley 2197/22,475.613.583,79.033.208,0,0,179.255.757,179.255.757,"37,69"
2-130501067,vigilanciaServicio de policía en modalidad de,475.613.583,79.033.208,0,0,179.255.757,179.255.757,"37,69"
12322408,CNSCC Transferencia Ministerio15% Ley 2197/22,475.613.583,0,0,0,0,0,"0,00"
2-130501068,gy TransMultCNSYCCAdmin FuncElnfraSistÚnilnforDRecRe,475.613.583,0,0,0,0,0,"0,00"
12330801,Cuotas partes pensionales,2.000.000.000,0,0,0,964.000.000,964.000.000,"48,20"
2-13110200102,autónomos pensionalesCapitalización de otros patrimonios,2.000.000.000,0,0,,964.000.000,964.000.000,"48,20"
12410103,deservicios - gastos de administraciónSGP-Educación-PrestaciónCSF,14.123.857.000,16.873.793,5.282.223,312.011.186,8.391.407.107,8.708.700.516,"61,66"
2-11010100101,Sueldo básico,8.034.864.064,1,5.282.223,113.105.204,4.986.443.911,5.104.831.338,"63,53"
2-11010100102,"Horas extras, dominicales, festivos yrecargos",62.154.727,0,0,0,62.154.727,62.154.727,"100,00"
2-11010100104,Subsidio de alimentación,1.112.968,0,,0,564.519,564.519,"50,72"
2-11010100105,Auxilio de transporte,1.876.715,0,0,0,1.206.667,1.206.667,"64,30"
2-11010100106,Prima de servicio,369.427.168,0,0,1,306.903.023,306.903.024,"83,08"
2-11010100107,Bonificación por servicios prestados,249.452.788,0,,1.315.421,197.578.756,198.894.177,"79,73"
2-1101010010801,Prima de navidad,786.376.169,0,0,0,1.656.125,1.656.125,"0,21"
2-1101010010802,Prima de vacaciones,383.403.436,16.873.792,0,4.247.950,192.527.574,196.775.524,"51,32"
2-1101020010401,Fondo de Pensiones Publico,327.560.306,0,0,4,327.560.302,327.560.306,"100,00"
