Fondo,Nombre,PPTOMODIFICADO,SALDO CDP,col_5,SALDO RPC,SALDOOBLIGACIONES,PAGOS,EJECUCION,%DEEJECUCION,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26
2-13110200102,autónomos pensionalesCapitalización de otros patrimonios,2.701.119.720,0,0,0,2.701.119.720,2.701.119.720,"100,00",,,,,,,,,,,,,,,,,
13332022,2-13110200102,13332041,Capitalización de otros patrimoniosFonpet 20%autónomos pensionalesR.B. Estampilla para el bienestar delR.B. Estampillas ProdesarrolloAdulto Mayor (FONPET - 20%),Capitalización de otros patrimoniosautónomos pensionales,2.630.540.767,2.630.540.767,6.681.524.780,0,0,0,0,0,0,0,0,0,2.630.540.767,2.630.540.767,6.681.524.780,2.630.540.767,2.630.540.767,6.681.524.780,"100,00","100,00","100,00"
2-13110200102,autónomos pensionalesCapitalización de otros patrimonios,6.681.524.780,0,0,0,6.681.524.780,6.681.524.780,"100,00",,,,,,,,,,,,,,,,,
13332060,R.B.Estampilla para la justiciafamiliar - Fonpet,174.291.650,0,,0,174.291.650,174.291.650,"100,00",,,,,,,,,,,,,,,,,
2-13110200102,autónomos pensionalesCapitalización de otros patrimonios,174.291.650,0,0,0,174.291.650,174.291.650,"100,00",,,,,,,,,,,,,,,,,
13341705,Medidas Correctivas 15% LeyR.B. CNSCC Transferencia Policía2197/22,250.494.870,0,0,250.494.870,0,250.494.870,"100,00",,,,,,,,,,,,,,,,,
2-130501061,edidasCorrectivasAdmin FunciElnfraestrucRegistoNalM,250.494.870,0,0,250.494.870,0,250.494.870,"100,00",,,,,,,,,,,,,,,,,
13341706,Vigilancia 15% Ley 2197/22R.B. CN5CC Transferencia Policía,212.329.869,0,0,212.329.869,0,212.329.869,"100,00",,,,,,,,,,,,,,,,,
2-130501067,Servicio de policía en modalidad devigilancia,212.329.869,0,0,212.329.869,0,212.329.869,"100,00",,,,,,,,,,,,,,,,,
13341708,TransferenciaCNSCCMinisterio 15% Ley 2197/22R.B.,1.021.907.007,0,0,0,0,0,"0,00",,,,,,,,,,,,,,,,,
2-130501068,gy TransMultCNSYCCAdmin FuncElnfraSistÚnilnforDRecRe,1.021.907.007,0,0,0,0,0,"0,00",,,,,,,,,,,,,,,,,
13350801,R.B. Cuotas partes pensionales,2.192.201.593,0,0,0,2.192.201.593,2.192.201.593,"100,00",,,,,,,,,,,,,,,,,
